kuerzel,name
ZH,Zuerich
BE,Bern
LU,Luzern
UR,Uri
SZ,Schwyz
OW,Obwalden
NW,Nidwalden
GL,Glarus
ZG,Zug
FR,Freiburg
SO,Solothurn
BS,Basel-Stadt
BL,Basel-Land
SH,Schaffhausen
AR,AppenzellAusserrhoden
AI,AppenzellInnerrhoden
SG,St.Gallen
GR,Graubuenden
AG,Aargau
TG,Thurgau
TI,Tessin
VD,Waadt
VS,Wallis
NE,Neuenburg
GE,Genf
JU,Jura
CH,Schweiz
